date,market-cap,trade-volume,hash-rate,cost-per-transaction,transaction-fees,n-unique-addresses,n-transactions,n-transactions-excluding-popular,estimated-transaction-volume
1239408000,0.0,0.0,6.064652894814814e-06,0.0,0.0,123.0,123.0,123.0,350.0
1239494400,0.0,0.0,5.716681007407408e-06,0.0,0.0,115.0,115.0,115.0,0.0
1239580800,0.0,0.0,5.716681007407408e-06,0.0,0.0,119.0,118.0,118.0,960.0
1239667200,0.0,0.0,6.313204242962964e-06,0.0,0.0,127.0,127.0,127.0,0.0
1239753600,0.0,0.0,5.567550198518519e-06,0.0,0.0,112.0,112.0,112.0,0.0
1239840000,0.0,0.0,6.114363164444444e-06,0.0,0.0,123.0,123.0,123.0,0.0
1239926400,0.0,0.0,5.716681007407408e-06,0.0,0.0,115.0,115.0,115.0,0.0
1240012800,0.0,0.0,6.064652894814814e-06,0.0,0.0,125.0,125.0,125.0,115.0
1240099200,0.0,0.0,5.915522085925926e-06,0.0,0.0,121.0,121.0,121.0,450.0
1240185600,0.0,0.0,5.816101546666666e-06,0.0,0.0,118.0,118.0,118.0,2250.0
1240272000,0.0,0.0,6.114363164444444e-06,0.0,0.0,126.0,125.0,125.0,3500.0
1240358400,0.0,0.0,6.014942625185187e-06,0.0,0.0,121.0,121.0,121.0,0.0
1240444800,0.0,0.0,3.97682157037037e-06,0.0,0.0,80.0,80.0,80.0,0.0
1240531200,0.0,0.0,5.6172604681481475e-06,0.0,0.0,113.0,113.0,113.0,0.0
1240617600,0.0,0.0,6.064652894814814e-06,0.0,0.0,122.0,122.0,122.0,0.0
1240704000,0.0,0.0,5.418419389629629e-06,0.0,0.0,110.0,111.0,111.0,750.0
1240790400,0.0,0.0,5.219578311111112e-06,0.0,0.0,105.0,105.0,105.0,0.0
1240876800,0.0,0.0,5.816101546666666e-06,0.0,0.0,117.0,117.0,117.0,0.0
1240963200,0.0,0.0,6.114363164444444e-06,0.0,0.0,123.0,123.0,123.0,0.0
1241049600,0.0,0.0,6.561755591111111e-06,0.0,0.0,133.0,133.0,133.0,1000.0
1241136000,0.0,0.0,6.114363164444444e-06,0.0,0.0,123.0,123.0,123.0,0.0
1241222400,0.0,0.0,6.114363164444444e-06,0.0,0.03,125.0,124.0,124.0,0.0
1241308800,0.0,0.0,5.666970737777776e-06,0.0,0.0,116.0,115.0,115.0,699.0
1241395200,0.0,0.0,6.064652894814814e-06,0.0,0.0,126.0,125.0,125.0,50.0
1241481600,0.0,0.0,6.561755591111111e-06,0.0,0.0,133.0,133.0,133.0,1500.0
1241568000,0.0,0.0,6.8103069392592595e-06,0.0,0.0,138.0,138.0,138.0,500.0
1241654400,0.0,0.0,6.014942625185187e-06,0.0,0.0,121.0,121.0,121.0,0.0
1241740800,0.0,0.0,6.064652894814814e-06,0.0,0.0,122.0,122.0,122.0,0.0
1241827200,0.0,0.0,4.523634536296296e-06,0.0,0.0,91.0,91.0,91.0,0.0
1241913600,0.0,0.0,3.082036717037037e-06,0.0,0.0,62.0,62.0,62.0,0.0
1242000000,0.0,0.0,5.915522085925926e-06,0.0,0.1,121.0,120.0,120.0,50.0
1242086400,0.0,0.0,6.313204242962964e-06,0.0,0.0,127.0,127.0,127.0,0.0
1242172800,0.0,0.0,5.716681007407408e-06,0.0,0.0,118.0,117.0,117.0,51.0
1242259200,0.0,0.0,6.611465860740741e-06,0.0,0.0,138.0,137.0,137.0,101.0
1242345600,0.0,0.0,7.108568557037038e-06,0.0,0.0,146.0,145.0,145.0,50.0
1242432000,0.0,0.0,5.666970737777776e-06,0.0,0.0,115.0,115.0,115.0,500.0
1242518400,0.0,0.0,6.213783703703704e-06,0.0,0.0,125.0,125.0,125.0,0.0
1242604800,0.0,0.0,6.164073434074074e-06,0.0,0.0,124.0,124.0,124.0,0.0
1242691200,0.0,0.0,4.971026962962963e-06,0.0,0.0,100.0,100.0,100.0,0.0
1242777600,0.0,0.0,5.1698680414814805e-06,0.0,0.0,104.0,104.0,104.0,0.0
1242864000,0.0,0.0,4.424213997037036e-06,0.0,0.0,89.0,89.0,89.0,0.0
1242950400,0.0,0.0,4.125952379259259e-06,0.0,0.0,83.0,83.0,83.0,0.0
1243036800,0.0,0.0,3.479718874074074e-07,0.0,0.0,7.0,7.0,7.0,0.0
1243123200,0.0,0.0,4.772185884444444e-06,0.0,0.0,96.0,96.0,96.0,0.0
1243209600,0.0,0.0,5.567550198518519e-06,0.0,0.0,112.0,112.0,112.0,0.0
1243296000,0.0,0.0,5.6172604681481475e-06,0.0,0.0,113.0,113.0,113.0,0.0
1243382400,0.0,0.0,6.213783703703704e-06,0.0,0.0,125.0,125.0,125.0,0.0
1243468800,0.0,0.0,5.1201577718518525e-06,0.0,0.0,103.0,103.0,103.0,0.0
1243555200,0.0,0.0,5.318998850370371e-06,0.0,0.0,108.0,108.0,108.0,3000.0
1243641600,0.0,0.0,5.1201577718518525e-06,0.0,0.0,103.0,103.0,103.0,0.0
1243728000,0.0,0.0,5.8658118162962975e-06,0.0,0.0,118.0,118.0,118.0,0.0
1243814400,0.0,0.0,3.628849682962963e-06,0.0,0.0,75.0,74.0,74.0,0.0
1243900800,0.0,0.0,4.424213997037036e-06,0.0,0.0,89.0,89.0,89.0,0.0
1243987200,0.0,0.0,4.871606423703704e-06,0.0,0.0,98.0,98.0,98.0,0.0
1244073600,0.0,0.0,1.938700515555556e-06,0.0,0.0,39.0,39.0,39.0,0.0
1244160000,0.0,0.0,2.833485368888888e-06,0.0,0.0,57.0,57.0,57.0,0.0
1244246400,0.0,0.0,1.193046471111111e-06,0.0,0.0,24.0,24.0,24.0,0.0
1244332800,0.0,0.0,1.9884107851851852e-07,0.0,0.0,4.0,4.0,4.0,0.0
1244419200,0.0,0.0,3.579139413333334e-06,0.0,0.0,72.0,72.0,72.0,0.0
1244505600,0.0,0.0,4.672765345185185e-06,0.0,0.0,94.0,94.0,94.0,0.0
1244592000,0.0,0.0,4.125952379259259e-06,0.0,0.0,83.0,83.0,83.0,0.0
1244678400,0.0,0.0,4.623055075555557e-06,0.0,0.0,93.0,93.0,93.0,0.0
